ph5_time=8.961894273757935, ph6_time=6.8064024448394775
ph5_time=9.002121210098267, ph6_time=6.819411277770996
ph5_time=8.966994047164917, ph6_time=6.786290168762207
ph5_time=9.198729753494263, ph6_time=6.9304444789886475
ph5_time=9.03916597366333, ph6_time=6.950026273727417
ph5_time=9.23386001586914, ph6_time=6.818876028060913
ph5_time=9.441741704940796, ph6_time=7.313483476638794
ph5_time=9.136996984481812, ph6_time=6.953150987625122
ph5_time=8.962669610977173, ph6_time=6.8141796588897705
ph5_time=9.072149515151978, ph6_time=6.8533337116241455
ph5_time=9.68110179901123, ph6_time=6.842130899429321
ph5_time=9.304330110549927, ph6_time=7.095768213272095
ph5_time=9.71455979347229, ph6_time=6.862839460372925
ph5_time=9.37458086013794, ph6_time=6.932798385620117
ph5_time=9.094459772109985, ph6_time=7.003155469894409
ph5_time=9.236133813858032, ph6_time=7.19166374206543
ph5_time=9.432071208953857, ph6_time=7.046013355255127
ph5_time=9.247279405593872, ph6_time=7.036600351333618
ph5_time=9.140998601913452, ph6_time=6.842286825180054
ph5_time=9.09823751449585, ph6_time=6.865693807601929
ph5_time=9.331233501434326, ph6_time=6.902665615081787
ph5_time=9.088360071182251, ph6_time=6.961251258850098
ph5_time=9.059770345687866, ph6_time=6.874983072280884
ph5_time=9.036054134368896, ph6_time=6.825658798217773
ph5_time=9.059000015258789, ph6_time=6.84369421005249
ph5_time=9.086999893188477, ph6_time=6.9040000438690186
ph5_time=9.20212197303772, ph6_time=7.041321754455566
ph5_time=9.360424757003784, ph6_time=6.808093070983887
ph5_time=9.2686288356781, ph6_time=7.026047945022583
ph5_time=9.160848617553711, ph6_time=6.966151237487793
ph5_time=9.22640609741211, ph6_time=6.898679494857788
ph5_time=9.108610391616821, ph6_time=6.898951768875122
ph5_time=9.099618434906006, ph6_time=7.034288167953491
